
----------------------------------
NUM_PROCS       INPUT_COUNT     RUNTIME
1                32              1m40.2531624
2                32              52.4287258
4                32              33.3939417
8                32              28.4626583
1                64              3m17.8160629
2                64              1m45.2161302
4                64              1m7.038857
8                64              56.2902693
1                128             6m36.0204663
2                128             3m30.7098328
4                128             2m15.3917581
8                128             1m52.4312718
1                256             13m11.4407847
2                256             6m50.1201874
4                256             4m25.119907
8                256             3m42.7788559
----------------------------------
